SN,TagName,DeviceCode,Name,DeviceName,CnName,Description,Address,DataType,Offset,BitOffset,RW,Length,DriverCode,GroupId,IsMonitor
1,BZJ01.HeartBreak,BZJ01,HeartBreak,上袋机01,心跳,,DB200.0,BOOL,0,,READONLY,,PLC01,1,
2,SDJ01.ReadBagPickerCodeEnabled,SDJ01,ReadBagPickerCodeEnabled,上袋机01,取袋允许读码,,DB200.2,BOOL,2,,READONLY,,PLC01,1,TRUE
3,SDJ01.CurrentBagPickerCode,SDJ01,CurrentBagPickerCode,上袋机01,取袋当前袋码,,DB200.4,STRING,4,,READONLY,64,PLC01,1,
4,SDJ01.ReadBaggingCodeEnabled,SDJ01,ReadBaggingCodeEnabled,上袋机01,套袋允许读码,,DB200.90,BOOL,90,,READONLY,,PLC01,1,TRUE
5,SDJ01.CurrentBaggingCode,SDJ01,CurrentBaggingCode,上袋机01,套袋当前袋码,,DB200.92,STRING,92,,READONLY,64,PLC01,1,
6,SDJ01.CurrentBaggingNo,SDJ01,CurrentBaggingNo,上袋机01,套袋包装机编号,,DB200.158,INT,158,,READONLY,,PLC01,1,
7,SDJ01.BaggingStatus,SDJ01,BaggingStatus,上袋机01,套袋状态,,DB200.160,INT,160,,READONLY,,PLC01,1,
8,SDJ01.ReadBagTakeCodeEnable,SDJ01,ReadBagTakeCodeEnable,上袋机01,取袋允许读码,,DB200.182,BOOL,182,,READONLY,,PLC01,1,TRUE
9,SDJ01.CurrentBagTakeCode,SDJ01,CurrentBagTakeCode,上袋机01,取袋当前袋码,,DB200.184,STRING,184,,READONLY,64,PLC01,1,
10,SDJ01.CurrentBagTakeNo,SDJ01,CurrentBagTakeNo,上袋机01,取袋包装机编号,,DB200.250,INT,250,,READONLY,,PLC01,1,
11,SDJ01.PackageTime,SDJ01,PackageTime,上袋机01,包装机时间,,DB200.252,INT,252,,READONLY,,PLC01,1,
12,SDJ01.PackageWeight,SDJ01,PackageWeight,上袋机01,包装机重量,,DB200.254,FLOAT,254,,READONLY,,PLC01,1,
13,SDJ01.HeartBreakWrite,SDJ01,HeartBreakWrite,上袋机01,心跳,,DB201.0,BOOL,0,,WRITEONLY,,PLC01,1,
14,SDJ01.BagPickerCodeReaded,SDJ01,BagPickerCodeReaded,上袋机01,取袋读码完成,,DB201.2,INT,2,,WRITEONLY,,PLC01,1,
15,SDJ01.BaggingCodeReaded,SDJ01,BaggingCodeReaded,上袋机01,套袋读码完成,,DB201.24,INT,24,,WRITEONLY,,PLC01,1,
16,SDJ01.BagTakeCodeReaded,SDJ01,BagTakeCodeReaded,上袋机01,取包读码完成,,DB201.46,INT,46,,WRITEONLY,,PLC01,1,
17,SDJ02.HeartBreak,SDJ02,HeartBreak,上袋机02,心跳,,DB200.0,BOOL,0,,READONLY,,PLC02,1,
18,SDJ02.ReadBagPickerCodeEnabled,SDJ02,ReadBagPickerCodeEnabled,上袋机02,取袋允许读码,,DB200.2,BOOL,2,,READONLY,,PLC02,1,TRUE
19,SDJ02.CurrentBagPickerCode,SDJ02,CurrentBagPickerCode,上袋机02,取袋当前袋码,,DB200.4,STRING,4,,READONLY,64,PLC02,1,
20,SDJ02.ReadBaggingCodeEnabled,SDJ02,ReadBaggingCodeEnabled,上袋机02,套袋允许读码,,DB200.90,BOOL,90,,READONLY,,PLC02,1,TRUE
21,SDJ02.CurrentBaggingCode,SDJ02,CurrentBaggingCode,上袋机02,套袋当前袋码,,DB200.92,STRING,92,,READONLY,64,PLC02,1,
22,SDJ02.CurrentBaggingNo,SDJ02,CurrentBaggingNo,上袋机02,套袋包装机编号,,DB200.158,INT,158,,READONLY,,PLC02,1,
23,SDJ02.BaggingStatus,SDJ02,BaggingStatus,上袋机02,套袋状态,,DB200.160,INT,160,,READONLY,,PLC02,1,
24,SDJ02.ReadBagTakeCodeEnable,SDJ02,ReadBagTakeCodeEnable,上袋机02,取袋允许读码,,DB200.182,BOOL,182,,READONLY,,PLC02,1,TRUE
,SDJ02.CurrentBagTakeCode,SDJ02,CurrentBagTakeCode,上袋机02,取袋当前袋码,,DB200.184,STRING,184,,READONLY,64,PLC02,,
,SDJ02.CurrentBagTakeNo,SDJ02,CurrentBagTakeNo,上袋机02,取袋包装机编号,,DB200.250,INT,250,,READONLY,,PLC02,,
,SDJ02.PackageTime,SDJ02,PackageTime,上袋机02,包装机时间,,DB200.252,INT,252,,READONLY,,PLC02,,
,SDJ02.PackageWeight,SDJ02,PackageWeight,上袋机02,包装机重量,,DB200.254,FLOAT,254,,READONLY,,PLC02,,
,SDJ02.HeartBreakWrite,SDJ02,HeartBreakWrite,上袋机02,心跳,,DB201.0,BOOL,0,,WRITEONLY,,PLC02,,
,SDJ02.BagPickerCodeReaded,SDJ02,BagPickerCodeReaded,上袋机02,取袋读码完成,,DB201.2,INT,2,,WRITEONLY,,PLC02,,
,SDJ02.BaggingCodeReaded,SDJ02,BaggingCodeReaded,上袋机02,套袋读码完成,,DB201.24,INT,24,,WRITEONLY,,PLC02,,
,SDJ02.BagTakeCodeReaded,SDJ02,BagTakeCodeReaded,上袋机02,取包读码完成,,DB201.46,INT,46,,WRITEONLY,,PLC02,,
,SS.HeartBreak,SS,HeartBreak,,心跳,,DB200.0,BOOL,0,,READONLY,,PLC03,,
,CZJ01.ReadBagCodeEnabled,CZJ01,ReadBagCodeEnabled,,称重机允许读码,,DB200.2,BOOL,2,,READONLY,,PLC03,,TRUE
,CZJ01.CurrentBagCode,CZJ01,CurrentBagCode,,称重机当前袋码,,DB200.4,STRING,4,,READONLY,64,PLC03,,
,CZJ01.BagWeight,CZJ01,BagWeight,,称重机当前重量,,DB200.70,FLOAT,70,,READONLY,,PLC03,,
,PMJ01.ReadBagCodeEnabled,PMJ01,ReadBagCodeEnabled,,喷码机允许读码,,DB200.94,BOOL,94,,READONLY,,PLC03,,TRUE
,PMJ01.CurrentBagCode,PMJ01,CurrentBagCode,,喷码机当前袋码,,DB200.96,STRING,96,,READONLY,64,PLC03,,
,PMJ02.ReadBagCodeEnabled,PMJ02,ReadBagCodeEnabled,,喷码机允许读码,,DB200.182,BOOL,182,,READONLY,,PLC03,,TRUE
,PMJ02.CurrentBagCode,PMJ02,CurrentBagCode,,喷码机当前袋码,,DB200.184,STRING,184,,READONLY,64,PLC03,,
,MDJ01.ReadBagCodeEnabled,MDJ01,ReadBagCodeEnabled,,码垛机允许读码,,DB200.270,BOOL,270,,READONLY,,PLC03,,TRUE
,MDJ01.CurrentBagCode,MDJ01,CurrentBagCode,,码垛机当前袋码,,DB200.272,STRING,272,,READONLY,64,PLC03,,
,MDJ01.PalletBagCountA,MDJ01,PalletBagCountA,,C2码垛位实时数量,,DB200.358,INT,358,,READONLY,,PLC03,,
,MDJ01.PalletBagCountB,MDJ01,PalletBagCountB,,C3码垛位实时数量,,DB200.360,INT,360,,READONLY,,PLC03,,
,MDJ01.PalletOutApplyA,MDJ01,PalletOutApplyA,,C2码垛位出托申请,,DB200.362,BOOL,362,,READONLY,,PLC03,,
,MDJ01.PalletOutApplyB,MDJ01,PalletOutApplyB,,C3码垛位出托申请,,DB200.364,BOOL,364,,READONLY,,PLC03,,
,TBJ01.ReadBagCodeEnabled,TBJ01,ReadBagCodeEnabled,,贴标机允许读码,,DB200.386,BOOL,386,,READONLY,,PLC03,,TRUE
,TBJ01.CurrentBagCode,TBJ01,CurrentBagCode,,贴标机当前袋码,,DB200.388,STRING,388,,READONLY,64,PLC03,,
,TBJ01.LabelPrinted,TBJ01,LabelPrinted,,贴标机当前状态,,DB200.454,BOOL,454,,READONLY,,PLC03,,
,SS.HeartBreakWrite,SS,HeartBreakWrite,,心跳,,DB201.0,BOOL,0,,WRITEONLY,,PLC03,,
,CZJ01.BagCodeReaded,CZJ01,BagCodeReaded,,称重机读码完成,,DB201.2,INT,2,,WRITEONLY,,PLC03,,
,CZJ01.IsPass,CZJ01,IsPass,,称重机重量是否合格,,DB201.4,INT,4,,WRITEONLY,,PLC03,,
,CZJ01.PalletPosition,CZJ01,PalletPosition,,码垛位,,DB201.6,INT,6,,WRITEONLY,,PLC03,,
,PMJ01.BagCodeReaded,PMJ01,BagCodeReaded,,喷码机读码完成,,DB201.28,INT,28,,WRITEONLY,,PLC03,,
,PMJ01.IsPass,PMJ01,IsPass,,喷码机重量是否合格,,DB201.20,INT,20,,WRITEONLY,,PLC03,,
,PMJ01.PalletPosition,PMJ01,PalletPosition,,码垛位,,DB201.32,INT,32,,WRITEONLY,,PLC03,,
,PMJ02.BagCodeReaded,PMJ02,BagCodeReaded,,喷码机读码完成,,DB201.34,INT,34,,WRITEONLY,,PLC03,,
,MDJ01.BagCodeReaded,MDJ01,BagCodeReaded,,码垛机读码完成,,DB201.54,INT,54,,WRITEONLY,,PLC03,,
,MDJ01.PalletPosition,MDJ01,PalletPosition,,码垛机码垛位,,DB201.56,INT,56,,WRITEONLY,,PLC03,,
,MDJ01.PalletOutAllowedA,MDJ01,PalletOutAllowedA,,码垛机C2码垛位允许出托,,DB201.78,INT,78,,WRITEONLY,,PLC03,,
,MDJ01.PalletOutAllowedB,MDJ01,PalletOutAllowedB,,码垛机C3码垛位允许出托,,DB201.80,INT,80,,WRITEONLY,,PLC03,,
,TBJ01.BagCodeReaded,TBJ01,BagCodeReaded,,贴标机读码完成,,DB201.102,INT,102,,WRITEONLY,,PLC03,,
,TBJ01.PalletOutAllowed,TBJ01,PalletOutAllowed,,贴标机允许出托,,DB201.104,INT,104,,WRITEONLY,,PLC03,,
